#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A68916
#Date Time: 2018-04-29 13:47:45.929
#Sample rate: 1e+06Hz
#Samples: 40000
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 2 mV/div Offset: -2.11 V
#Channel 2: Range: 500 mV/div Offset: -2 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.02,2.981814863493133,-0.0015773485447208024
-0.019998999999999999,2.8387946401918676,-0.0015773485447208024
-0.019997999999999998,2.6620837407318745,-0.0012466245468978343
-0.019997000000000001,2.4602699845261631,-0.0015773485447208024
-0.019996,2.2445835969609753,-0.0019080725425437706
-0.019994999999999999,2.0255942019292461,-0.0019080725425437706
-0.019994000000000001,1.8148623255638714,-0.0022387965403671828
-0.019993,1.6206454865312063,-0.0022387965403671828
-0.019991999999999999,1.4512012034976056,-0.0019080725425437706
-0.019990999999999998,1.3210627093158538,-0.0015773485447208024
-0.019990000000000001,1.2239542897995213,-0.0019080725425437706
-0.019989,1.1707758695881965,-0.0015773485447208024
-0.019987999999999999,1.1638395539084583,-0.0012466245468978343
-0.019987000000000001,1.2031453427603072,-0.0012466245468978343
-0.019986,1.2877023339037805,-0.0012466245468978343
-0.019984999999999999,1.4132166176323735,-0.0019080725425437706
-0.019983999999999998,1.5707700737864232,-0.0019080725425437706
-0.019983000000000001,1.7633354090858173,-0.0019080725425437706
-0.019982,1.9780308944110423,-0.0015773485447208024
-0.019980999999999999,2.2036263043758555,-0.0019080725425437706
-0.019980000000000001,2.427570210607398,-0.0015773485447208024
-0.019979,2.6406141921993522,-0.0019080725425437706
-0.019977999999999999,2.8311977230188212,-0.0019080725425437706
-0.019977000000000002,2.9864390739462916,-0.0015773485447208024
-0.019976000000000001,3.0974201248220998,-0.0015773485447208024
-0.019975,3.1595166651930882,-0.0015773485447208024
-0.019973999999999999,3.1684347853527512,-0.0015773485447208024
-0.019973000000000001,3.1245047860477437,-0.0015773485447208024
-0.019972,3.0320205769845701,-0.0015773485447208024
-0.019970999999999999,2.896597270856351,-0.0019080725425437706
-0.019970000000000002,2.7241802811028628,-0.0019080725425437706
-0.019969000000000001,2.5253392316170391,-0.0019080725425437706
-0.019968,2.3103134455451597,-0.0019080725425437706
-0.019966999999999999,2.0903331482734675,-0.0019080725425437706
-0.019966000000000001,1.8746467607082802,-0.0012466245468978343
-0.019965,1.6741542074891855,-0.0012466245468978343
-0.019963999999999999,1.4977736087758466,-0.0015773485447208024
-0.019963000000000002,1.3564048892078524,-0.0015773485447208024
-0.019962000000000001,1.2493874472918942,-0.0012466245468978343
-0.019961,1.1846485009476724,-0.0019080725425437706
-0.019959999999999999,1.1638395539084583,-0.0012466245468978343
-0.019959000000000001,1.1896030121474852,-0.0015773485447208024
-0.019958,1.2609479734247908,-0.0015773485447208024
-0.019956999999999999,1.3742411295271788,-0.0012466245468978343
-0.019956000000000002,1.5218855632816028,-0.0012466245468978343
-0.019955000000000001,1.7028903724481002,-0.0015773485447208024
-0.019954,1.9093283391069704,-0.0015773485447208024
-0.019952999999999999,2.129969237871971,-0.0015773485447208024
-0.019952000000000001,2.3532525426102047,-0.0012466245468978343
-0.019951,2.5679480279354299,-0.0012466245468978343
-0.019949999999999999,2.7615042654747866,-0.0015773485447208024
-0.019949000000000001,2.9236819320819949,-0.0012466245468978343
-0.019948,3.0445720053574292,-0.00091590054907486618
-0.019946999999999999,3.1195502748479309,-0.0012466245468978343
-0.019945999999999998,3.1446531315936497,-0.00091590054907486618
-0.019945000000000001,3.1192199741012767,-0.0012466245468978343
-0.019944,3.0465538098373544,-0.0012466245468978343
-0.019942999999999999,2.9299576462684245,-0.0015773485447208024
-0.019942000000000001,2.7743859945942999,-0.0015773485447208024
-0.019941,2.5913993809478777,-0.0012466245468978343
-0.019939999999999999,2.3879341210088949,-0.0015773485447208024
-0.019938999999999998,2.1748901394169411,-0.0022387965403671828
-0.019938000000000001,1.9605249548383701,-0.0019080725425437706
-0.019937,1.7567293941527335,-0.0012466245468978343
-0.019935999999999999,1.5724215775196941,-0.0015773485447208024
-0.019935000000000001,1.4175105273388779,-0.0019080725425437706
-0.019934,1.2982719577967146,-0.0019080725425437706
-0.019932999999999999,1.2163573726264749,-0.0019080725425437706
-0.019931999999999998,1.1780424860145886,-0.0019080725425437706
-0.019931000000000001,1.1856394031876349,-0.0019080725425437706
-0.01993,1.2391481241456141,-0.00091590054907486618
-0.019928999999999999,1.3372474459019092,-0.0015773485447208024
-0.019928000000000001,1.4730010527767823,-0.0015773485447208024
-0.019927,1.6437665387969997,-0.0015773485447208024
-0.019925999999999999,1.8432681897761318,-0.0019080725425437706
-0.019924999999999998,2.0612666825678989,-0.0015773485447208024
-0.019924000000000001,2.2865317917860581,-0.0022387965403671828
-0.019923,2.5058514875644415,-0.0019080725425437706
-0.019921999999999999,2.706013740036882,-0.0012466245468978343
-0.019921000000000001,2.8767792260570997,-0.0012466245468978343
-0.01992,3.0088995247187764,-0.0015773485447208024
-0.019918999999999999,3.0931262151155954,-0.0015773485447208024
-0.019918000000000002,3.1254956882877067,-0.0012466245468978343
-0.019917000000000001,3.105677643488455,-0.0015773485447208024
-0.019916,3.0353235844511119,-0.0015773485447208024
-0.019914999999999999,2.9193880223754904,-0.0015773485447208024
-0.019914000000000001,2.7644769721946743,-0.0019080725425437706
-0.019913,2.5795085540683265,-0.0015773485447208024
-0.019911999999999999,2.374061489649419,-0.0015773485447208024
-0.019911000000000002,2.1593660043241938,-0.0019080725425437706
-0.019910000000000001,1.9459917219855858,-0.0015773485447208024
-0.019909,1.7448385672731825,-0.0012466245468978343
-0.019907999999999999,1.565154961093302,-0.0015773485447208024
-0.019907000000000001,1.4171802265922238,-0.0019080725425437706
-0.019906,1.3091718824363028,-0.0012466245468978343
-0.019904999999999999,1.2384875226523058,-0.0012466245468978343
-0.019904000000000002,1.2120634629199705,-0.0012466245468978343
-0.019903000000000001,1.2318815077192218,-0.0015773485447208024
-0.019902,1.2962901533167894,-0.0012466245468978343
-0.019900999999999999,1.405289399712673,-0.0012466245468978343
-0.019900000000000001,1.546327818534013,-0.0019080725425437706
-0.019899,1.7240296202339684,-0.0019080725425437706
-0.019897999999999999,1.9255130756930257,-0.0015773485447208024
-0.019897000000000001,2.1415297640048676,-0.0015773485447208024
-0.019896,2.3595282567966342,-0.0019080725425437706
-0.019894999999999999,2.5682783286820841,-0.0019080725425437706
-0.019893999999999998,2.7575406565149363,-0.0019080725425437706
-0.019893000000000001,2.9170759171489111,-0.0015773485447208024
-0.019892,3.0366447874377287,-0.0012466245468978343
-0.019890999999999999,3.1099715531949594,-0.0012466245468978343
-0.019890000000000001,3.1337532069540615,-0.0012466245468978343
-0.019889,3.1063382449817634,-0.0012466245468978343
-0.019887999999999999,3.0306993739979533,-0.0012466245468978343
-0.019886999999999998,2.9121214059490983,-0.0019080725425437706
-0.019886000000000001,2.7578709572615905,-0.0015773485447208024
-0.019885,2.5745540428685136,-0.0019080725425437706
-0.019883999999999999,2.3730705874094564,-0.0012466245468978343
-0.019883000000000001,2.1629993125373899,-0.0019080725425437706
-0.019882,1.9525977369186696,-0.0019080725425437706
-0.019880999999999999,1.7524354844462291,-0.0019080725425437706
-0.019879999999999998,1.5717609760263858,-0.0015773485447208024
-0.019879000000000001,1.4201529333121115,-0.0015773485447208024
-0.019878,1.3075203787030318,-0.0015773485447208024
-0.019876999999999999,1.2315512069725676,-0.0019080725425437706
-0.019876000000000001,1.1991817338004569,-0.0012466245468978343
-0.019875,1.2107422599333537,-0.0015773485447208024
-0.019873999999999999,1.266563086117912,-0.0019080725425437706
-0.019872999999999998,1.3673048138474408,-0.0019080725425437706
-0.019872000000000001,1.5030584207223137,-0.0012466245468978343
-0.019871,1.6734936059958772,-0.0015773485447208024
-0.019869999999999999,1.8703528510017757,-0.0015773485447208024
-0.019869000000000001,2.0837271333403837,-0.0019080725425437706
-0.019868,2.3010650246388424,-0.00091590054907486618
-0.019866999999999999,2.5131181039908337,-0.0012466245468978343
-0.019866000000000002,2.7079955445168071,-0.0015773485447208024
-0.019865000000000001,2.8757883238171371,-0.0012466245468978343
-0.019864,3.0059268179988887,-0.0015773485447208024
-0.019862999999999999,3.0934565158622496,-0.0012466245468978343
-0.019862000000000001,3.1334229062074073,-0.0015773485447208024
-0.019861,3.1248350867943979,-0.0019080725425437706
-0.019859999999999999,3.0673627568765687,-0.0019080725425437706
-0.019859000000000002,2.9636483224271521,-0.0019080725425437706
-0.019858000000000001,2.8196371968859242,-0.0012466245468978343
-0.019857,2.6445778011592025,-0.0012466245468978343
-0.019855999999999999,2.4467276539133413,-0.0015773485447208024
-0.019855000000000001,2.2343442738146955,-0.0012466245468978343
-0.019854,2.0209699914760875,-0.0015773485447208024
-0.019852999999999999,1.814201724070563,-0.0019080725425437706
-0.019852000000000002,1.6219666895178231,-0.00091590054907486618
-0.019851000000000001,1.4535133087241849,-0.0015773485447208024
-0.01985,1.3237051152890875,-0.0019080725425437706
-0.019848999999999999,1.2259360942794464,-0.0019080725425437706
-0.019848000000000001,1.1711061703348506,-0.0019080725425437706
-0.019847,1.1635092531618041,-0.0012466245468978343
-0.019845999999999999,1.201163538280382,-0.0015773485447208024
-0.019845000000000002,1.286711431663818,-0.0015773485447208024
-0.019844000000000001,1.4145378206189902,-0.0019080725425437706
-0.019843,1.5760548857328902,-0.0015773485447208024
-0.019841999999999999,1.7722535292454804,-0.0019080725425437706
-0.019841000000000001,1.9892611197972849,-0.00091590054907486618
-0.01984,2.2155171312554067,-0.0012466245468978343
-0.019838999999999999,2.4414428419668743,-0.0012466245468978343
-0.019838000000000001,2.6505232145989779,-0.0012466245468978343
-0.019837,2.8335098282454005,-0.00091590054907486618
-0.019835999999999999,2.981814863493133,-0.0015773485447208024
-0.019834999999999998,3.085529297942549,-0.0019080725425437706
-0.019834000000000001,3.1393683196471827,-0.0015773485447208024
-0.019833,3.1403592218871452,-0.0015773485447208024
-0.019831999999999999,3.0891626061557451,-0.0012466245468978343
-0.019831000000000001,2.9894117806661793,-0.0012466245468978343
-0.01983,2.8480430610981848,-0.0012466245468978343
-0.019828999999999999,2.6729836653714631,-0.0015773485447208024
-0.019827999999999998,2.4721608114057139,-0.0015773485447208024
-0.019827000000000001,2.2564744238405265,-0.0012466245468978343
-0.019826,2.0374850288087969,-0.0019080725425437706
-0.019824999999999999,1.8274137539367306,-0.0019080725425437706
-0.019824000000000001,1.6348484186373367,-0.0012466245468978343
-0.019823,1.4667253385903525,-0.0012466245468978343
-0.019821999999999999,1.3369171451552551,-0.0015773485447208024
-0.019820999999999998,1.2427814323588102,-0.0012466245468978343
-0.019820000000000001,1.1929060196140271,-0.0012466245468978343
-0.019819,1.1889424106541768,-0.0012466245468978343
-0.019817999999999999,1.2312209062259134,-0.00091590054907486618
-0.019817000000000001,1.3194112055825828,-0.00091590054907486618
-0.019816,1.4475678952844095,-0.0015773485447208024
-0.019814999999999999,1.6100758626382721,-0.00091590054907486618
-0.019813999999999998,1.8046230024175913,-0.0015773485447208024
-0.019813000000000001,2.018327585502854,-0.0019080725425437706
-0.019812,2.2412805894944334,-0.0015773485447208024
-0.019810999999999999,2.4622517890060882,-0.0019080725425437706
-0.019810000000000001,2.6670382519316878,-0.0019080725425437706
-0.019809,2.8460612566182597,-0.0019080725425437706
-0.019807999999999999,2.9904026829061419,-0.0019080725425437706
-0.019807000000000002,3.092465613622287,-0.0012466245468978343
-0.019806000000000001,3.1459743345802664,-0.0015773485447208024
-0.019805,3.1486167405534999,-0.0019080725425437706
-0.019803999999999999,3.1000625307953333,-0.0019080725425437706
