#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A68916
#Date Time: 2018-04-29 13:37:04.798
#Sample rate: 4e+06Hz
#Samples: 20000
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 2 mV/div Offset: -2.11 V
#Channel 2: Range: 500 mV/div Offset: -2 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.0025000000000000001,2.123693523685541,1.9678840584916166
-0.0024997499999999998,2.1243541251788494,1.9864046023697082
-0.0024995,2.1243541251788494,2.0045944222499767
-0.0024992500000000002,2.1246844259255036,2.0231149661280683
-0.0024989999999999999,2.1250147266721577,2.0426276819996287
-0.0024987500000000001,2.1246844259255036,2.0618096738733667
-0.0024984999999999999,2.1246844259255036,2.0813223897449271
-0.00249825,2.1240238244321952,2.101165829614311
-0.0024979999999999998,2.1250147266721577,2.1210092694836948
-0.00249775,2.1250147266721577,2.1408527093530783
-0.0024975000000000002,2.1246844259255036,2.1603654252246391
-0.0024972499999999999,2.1253450274188119,2.180208865094023
-0.0024970000000000001,2.1253450274188119,2.1987294089721146
-0.0024967499999999998,2.1253450274188119,2.2175806768480291
-0.0024965,2.1253450274188119,2.2357704967282972
-0.0024962500000000002,2.1260056289121203,2.2539603166085658
-0.002496,2.1263359296587745,2.2721501364888343
-0.0024957500000000001,2.1260056289121203,2.2890170603778106
-0.0024954999999999999,2.1263359296587745,2.3062147082646098
-0.0024952500000000001,2.1263359296587745,2.3227509081557627
-0.0024949999999999998,2.1260056289121203,2.3379642120556237
-0.00249475,2.1256753281654661,2.3525160679598383
-0.0024945000000000002,2.1260056289121203,2.3670679238640533
-0.0024942499999999999,2.1253450274188119,2.3799661597791526
-0.0024940000000000001,2.1260056289121203,2.392202947698606
-0.0024937499999999999,2.1253450274188119,2.4041090116202364
-0.0024935000000000001,2.1253450274188119,2.4153536275462204
-0.0024932499999999998,2.1253450274188119,2.4262675194743815
-0.002493,2.1253450274188119,2.4351970674156043
-0.0024927500000000002,2.1253450274188119,2.4437958913590037
-0.0024924999999999999,2.1256753281654661,2.4517332673067571
-0.0024922500000000001,2.1250147266721577,2.4593399192566876
-0.0024919999999999999,2.1246844259255036,2.4652929512175028
-0.00249175,2.1250147266721577,2.470915259180495
-0.0024914999999999998,2.1246844259255036,2.4755453951500179
-0.00249125,2.1240238244321952,2.4781911871326021
-0.0024910000000000002,2.1263359296587745,2.4818291511086561
-0.0024907499999999999,2.123693523685541,2.4805062551173638
-0.0024905000000000001,2.1240238244321952,2.482490599104302
-0.0024902499999999998,2.1233632229388868,2.4814984271108327
-0.00249,2.1233632229388868,2.4801755311195404
-0.0024897500000000002,2.1240238244321952,2.4771990151391332
-0.0024895,2.1240238244321952,2.4738917751609026
-0.0024892500000000001,2.1233632229388868,2.4689309151935563
-0.0024889999999999999,2.1233632229388868,2.4629778832327416
-0.0024887500000000001,2.1233632229388868,2.456694127274103
-0.0024884999999999998,2.1223723206989242,2.4494181993219959
-0.00248825,2.1223723206989242,2.4404886513807731
-0.0024880000000000002,2.1223723206989242,2.4312283794417273
-0.0024877499999999999,2.12204201995227,2.4216373835048586
-0.0024875000000000001,2.12204201995227,2.4100620435810516
-0.0024872499999999999,2.1217117192056159,2.3978252556615982
-0.0024870000000000001,2.1217117192056159,2.3849270197464985
-0.0024867499999999998,2.1210511177123075,2.3716980598335762
-0.0024865,2.1203905162189991,2.3571462039293616
-0.0024862500000000002,2.1200602154723449,2.3412714520338542
-0.0024859999999999999,2.1200602154723449,2.3253967001383473
-0.0024857500000000001,2.1197299147256907,2.308860500247194
-0.0024854999999999999,2.1197299147256907,2.2919935763582178
-0.00248525,2.1197299147256907,2.2754573764670649
-0.0024849999999999998,2.1193996139790365,2.2585904525780887
-0.00248475,2.1193996139790365,2.2400699086999971
-0.0024845000000000002,2.118408711739074,2.221880088819729
-0.0024842499999999999,2.1190693132323823,2.203028820943814
-0.0024840000000000001,2.1187390124857282,2.1848390010635459
-0.0024837499999999998,2.1187390124857282,2.1663184571854543
-0.0024835,2.1180784109924198,2.1474671893095398
-0.0024832500000000002,2.1187390124857282,2.1296080934270942
-0.002483,2.118408711739074,2.1117489975446491
-0.0024827500000000001,2.118408711739074,2.0932284536665575
-0.0024824999999999999,2.118408711739074,2.0757000817819349
-0.0024822500000000001,2.118408711739074,2.0578409858994897
-0.0024819999999999998,2.1180784109924198,2.0406433380126905
-0.00248175,2.118408711739074,2.0241071381215372
-0.0024815000000000002,2.1177481102457656,2.0079016622282073
-0.0024812499999999999,2.1193996139790365,1.9923576343305234
-0.0024810000000000001,2.1187390124857282,1.9764828824350162
-0.0024807499999999999,2.118408711739074,1.9616003025329785
-0.0024805000000000001,2.1180784109924198,1.9470484466287639
-0.0024802499999999998,2.1177481102457656,1.9331580387201952
-0.00248,2.118408711739074,1.9192676308116265
-0.0024797500000000002,2.1180784109924198,1.9073615668899961
-0.0024794999999999999,2.118408711739074,1.895124778970543
-0.0024792500000000001,2.1177481102457656,1.8842108870423819
-0.0024789999999999999,2.1174178094991114,1.8726355471185747
-0.0024787500000000001,2.1174178094991114,1.863044551181706
-0.0024784999999999998,2.1180784109924198,1.8551071752339523
-0.00247825,2.1177481102457656,1.8468390752883759
-0.0024780000000000002,2.118408711739074,1.8395631473362684
-0.0024777499999999999,2.1187390124857282,1.8342715633710993
-0.0024775000000000001,2.1190693132323823,1.8293107034037535
-0.0024772499999999999,2.118408711739074,1.8246805674342306
