#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A68916
#Date Time: 2018-04-29 13:43:03.606
#Sample rate: 1e+06Hz
#Samples: 40000
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 2 mV/div Offset: -2.11 V
#Channel 2: Range: 500 mV/div Offset: -2 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.02,4.2709786776844449,-0.0019080725425437706
-0.019998999999999999,4.2706483769377908,-0.0015773485447208024
-0.019997999999999998,4.2709786776844449,-0.00091590054907486618
-0.019997000000000001,4.2706483769377908,-0.0015773485447208024
-0.019996,4.2709786776844449,-0.0019080725425437706
-0.019994999999999999,4.2713089784310991,-0.0015773485447208024
-0.019994000000000001,0.42165377617648825,-0.00058517655125189805
-0.019993,-0.034821855699605386,-0.0019080725425437706
-0.019991999999999999,-0.0229310288200546,-0.0019080725425437706
-0.019990999999999998,-0.017315916126933395,-0.0015773485447208024
-0.019990000000000001,-0.012361404927120567,-0.0015773485447208024
-0.019989,-0.0097189989538870591,-0.0022387965403671828
-0.019987999999999999,-0.0083977959672703051,-0.0022387965403671828
-0.019987000000000001,3.8392756018074161,-0.002900244536013119
-0.019986,4.2990542411500519,-0.0012466245468978343
-0.019984999999999999,4.2881543165104627,-0.0012466245468978343
-0.019983999999999998,4.281548301577379,-0.0012466245468978343
-0.019983000000000001,4.2779149933641829,-0.0012466245468978343
-0.019982,4.2749422866442952,-0.0015773485447208024
-0.019980999999999999,4.2739513844043326,-0.0015773485447208024
-0.019980000000000001,4.2736210836576785,-0.0015773485447208024
-0.019979,4.2736210836576785,-0.0015773485447208024
-0.019977999999999999,4.2732907829110243,-0.0019080725425437706
-0.019977000000000002,4.2726301814177159,-0.0015773485447208024
-0.019976000000000001,4.2722998806710617,-0.0015773485447208024
-0.019975,4.2719695799244075,-0.0015773485447208024
-0.019973999999999999,4.2713089784310991,-0.0015773485447208024
-0.019973000000000001,4.2713089784310991,-0.0019080725425437706
-0.019972,4.2716392791777533,-0.0015773485447208024
-0.019970999999999999,4.2719695799244075,-0.0015773485447208024
-0.019970000000000002,4.2713089784310991,-0.0019080725425437706
-0.019969000000000001,4.2716392791777533,-0.0015773485447208024
-0.019968,4.2719695799244075,-0.0012466245468978343
-0.019966999999999999,4.2719695799244075,-0.0015773485447208024
-0.019966000000000001,1.3104930854229195,-0.0015773485447208024
-0.019965,-0.036473359432876773,-0.0022387965403671828
-0.019963999999999999,-0.024582532553325542,-0.0015773485447208024
-0.019963000000000002,-0.017976517620241772,-0.0019080725425437706
-0.019962000000000001,-0.01401290866039151,-0.0019080725425437706
-0.019961,-0.011040201940503813,-0.0019080725425437706
-0.019959999999999999,2.4652244957259759,-0.002900244536013119
-0.019959000000000001,4.3007057448833228,-0.0015773485447208024
-0.019958,4.2904664217370421,-0.0012466245468978343
-0.019956999999999999,4.2828695045639957,-0.0019080725425437706
-0.019956000000000002,4.2782452941108371,-0.0012466245468978343
-0.019955000000000001,4.2752725873909494,-0.0012466245468978343
-0.019954,4.2742816851509868,-0.0015773485447208024
-0.019952999999999999,4.2739513844043326,-0.0019080725425437706
-0.019952000000000001,4.2739513844043326,-0.0019080725425437706
-0.019951,4.2739513844043326,-0.0015773485447208024
-0.019949999999999999,4.2736210836576785,-0.0015773485447208024
-0.019949000000000001,4.2736210836576785,-0.0019080725425437706
-0.019948,4.2732907829110243,-0.0019080725425437706
-0.019946999999999999,4.2722998806710617,-0.0019080725425437706
-0.019945999999999998,4.2716392791777533,-0.0012466245468978343
-0.019945000000000001,4.2713089784310991,-0.0012466245468978343
-0.019944,4.2709786776844449,-0.0015773485447208024
-0.019942999999999999,4.2703180761911366,-0.0015773485447208024
-0.019942000000000001,4.2703180761911366,-0.0015773485447208024
-0.019941,4.2706483769377908,-0.0015773485447208024
-0.019939999999999999,4.2709786776844449,-0.0015773485447208024
-0.019938999999999998,4.2709786776844449,-0.0019080725425437706
-0.019938000000000001,0.2267763356505148,-0.00058517655125189805
-0.019937,-0.034821855699605386,-0.0015773485447208024
-0.019935999999999999,-0.023591630313362977,-0.0012466245468978343
-0.019935000000000001,-0.017976517620241772,-0.0015773485447208024
-0.019934,-0.01401290866039151,-0.0015773485447208024
-0.019932999999999999,-0.010709901193849625,-0.0019080725425437706
-0.019931999999999998,-0.0090583974605786821,-0.0019080725425437706
-0.019931000000000001,1.4977736087758466,-0.0025695205381901509
-0.01993,4.3023572486165937,-0.0022387965403671828
-0.019928999999999999,4.2940997299502381,-0.0012466245468978343
-0.019928000000000001,4.2855119105372292,-0.0015773485447208024
-0.019927,4.2805573993374164,-0.0012466245468978343
-0.019925999999999999,4.2772543918708745,-0.0015773485447208024
-0.019924999999999998,4.2759331888842578,-0.0019080725425437706
-0.019924000000000001,4.2742816851509868,-0.0015773485447208024
-0.019923,4.2736210836576785,-0.0015773485447208024
-0.019921999999999999,4.2732907829110243,-0.0015773485447208024
-0.019921000000000001,4.2729604821643701,-0.0019080725425437706
-0.01992,4.2719695799244075,-0.0019080725425437706
-0.019918999999999999,4.2716392791777533,-0.0019080725425437706
-0.019918000000000002,4.2716392791777533,-0.0019080725425437706
-0.019917000000000001,4.2709786776844449,-0.0015773485447208024
-0.019916,4.2703180761911366,-0.0012466245468978343
-0.019914999999999999,4.2703180761911366,-0.0015773485447208024
-0.019914000000000001,4.2696574746978282,-0.0012466245468978343
-0.019913,4.2703180761911366,-0.00091590054907486618
